,State,Station,Spoke ,address,gmap_latitude,gmap_longitude
212,Maharashtra,Aurangabad,FMCG-CO-AURANGABAD-CRC - ER,"Aurangabad, Maharashtra",19.8761653,75.3433139
213,Maharashtra,Vaijapur,FMCG-VAIJAPUR - ER,"Vaijapur, Maharashtra",19.9256818,74.72848119999999
214,Maharashtra,Talegaon,FMCG-TALEGAON DABHADE - ER,"Talegaon, Maharashtra",18.7375763,73.67466259999999
215,Maharashtra,Hingoli,FMCG-HINGOLI - ER,"Hingoli, Maharashtra",19.7173703,77.1493722
216,Maharashtra,Udgir,FMCG-UDGIR - ER,"Udgir, Maharashtra",18.3942882,77.11260089999999
217,Maharashtra,Latur,FMCG-LATUR - ER,"Latur, Maharashtra",18.4087934,76.5603828
218,Maharashtra,Solapur,FMCG-SOLAPUR-R-URBAN - ER,"Solapur, Maharashtra",17.6599188,75.9063906
219,Maharashtra,Palghar,FMCG-PALGHAR - ER,"Palghar, Maharashtra",19.6967136,72.769885
220,Maharashtra,Shirur,FMCG-SHIRUR - ER,"Shirur, Maharashtra",18.8249767,74.3775524
221,Maharashtra,Karad,FMCG-KARAD - ER,"Karad, Maharashtra",17.277693,74.1843535
222,Maharashtra,Karmala,FMCG-KARMALA - ER,"Karmala, Maharashtra",18.4044833,75.1953934
223,Maharashtra,Shrirampur,FMCG-SHRIRAMPUR - ER,"Shrirampur, Maharashtra",19.6194767,74.65674070000001
224,Maharashtra,Pandharpur,FMCG-PANDARPUR - ER,"Pandharpur, Maharashtra",17.6805816,75.31550349999999
225,Maharashtra,Vita,FMCG-VITA - ER,"Vita, Maharashtra",17.2751726,74.53571269999999
226,Maharashtra,Kolhapur,FMCG-KOLHAPUR - ER,"Kolhapur, Maharashtra",16.7049873,74.24325270000001
227,Maharashtra,Hadgaon,FMCG-HADGAON - ER,"Hadgaon, Maharashtra",19.4980701,77.6584453
228,Maharashtra,Beed,FMCG-BEED - ER,"Beed, Maharashtra",18.990088,75.7531324
229,Maharashtra,Bhandara,FMCG-BHANDARA - ER,"Bhandara, Maharashtra",21.177658,79.6570127
230,Maharashtra,Satara,FMCG-SATARA - ER,"Satara, Maharashtra",17.6804639,74.018261
231,Maharashtra,Sangli,FMCG-SANGLI - ER,"Sangli, Maharashtra",16.8523973,74.5814773
232,Madhya Pradesh,Gwalior,FMCG-GWALIOR - ER,"Gwalior, Madhya Pradesh",26.2124007,78.1772053
233,Madhya Pradesh,Kolar,FMCG-KOLAR_MP - ER,"Kolar, Madhya Pradesh",24.5831643,80.6701448
234,Madhya Pradesh,Betul,FMCG-BETUL - ER,"Betul, Madhya Pradesh",21.9011601,77.8960201
235,Madhya Pradesh,Seoni,FMCG-SEONI - ER,"Seoni, Madhya Pradesh",22.0868691,79.5434841
236,Madhya Pradesh,Guna,FMCG-GUNA - ER,"Guna, Madhya Pradesh",24.6323648,77.3001762
237,Madhya Pradesh,Dhar,FMCG-DHAR - ER,"Dhar, Madhya Pradesh",22.6012922,75.3024655
238,Madhya Pradesh,Katni,FMCG-KATNI - ER,"Katni, Madhya Pradesh",23.8343441,80.38938139999999
239,Madhya Pradesh,Ujjain,FMCG-UJJAIN - ER,"Ujjain, Madhya Pradesh",23.1764665,75.7885163
240,Madhya Pradesh,Rewa,FMCG-REWA - ER,"Rewa, Madhya Pradesh",24.5362477,81.30369460000001
